,1,10,20,30,40,50,60,70,80,90,100
0.225,"(14.124293785310735, 0.04534275248560963)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)"
0.23,"(14.124293785310735, 0.04534275248560963)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)"
0.23500000000000001,"(14.124293785310735, 0.04534275248560963)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)"
0.24,"(14.124293785310735, 0.04534275248560963)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)"
0.245,"(14.124293785310735, 0.04534275248560963)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)"
0.25,"(14.124293785310735, 0.04534275248560963)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)"
0.255,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.26,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.265,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.27,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.275,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.28,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
