,1,10,20,30,40,50,60,70,80,90,100
0.46,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.465,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.47000000000000003,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.47500000000000003,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.48,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.485,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.49,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.495,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.5,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.505,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.51,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.515,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.52,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.525,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.53,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.535,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.54,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.545,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.55,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.555,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.56,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.5650000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.5700000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.5750000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.58,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.585,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.59,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.595,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.6,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.605,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.61,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.615,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.62,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.625,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.63,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.635,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.64,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.645,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.65,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.655,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.66,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.665,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.67,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.675,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.68,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.685,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.6900000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.6950000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.7000000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.705,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.71,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.715,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.72,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.725,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.73,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.735,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.74,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.745,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.75,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.755,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.76,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
